transcript	TPM_Skmel5-1-B1R1_S3	TPM_Skmel5-1-B1R2_S2	TPM_Skmel5-10-B1R1_S2	TPM_Skmel5-10-B1R2_S1
ERVLE_21p11.2	27952.95372611849	31357.268802233983	21841.24718373637	20659.29780287015
HML6_16p11.1	24831.867154429907	28616.876786985755	25402.9391647656	22386.73113902191
ERV316A3_3q13.12c	19935.64058967575	21531.94501119181	3035.9215510745607	5017.501143417012
MER101_16p12.2a	14133.304354443171	6697.981258737962	19194.362965700908	16517.416350920234
ERVLE_11q14.2c	12338.002164241325	11715.384646905171	7305.195983644096	6482.686867152183
ERVLE_15q13.1a	11365.832896125678	11034.865078740984	7231.483493492754	9880.595229911276
MER4_1_KI270706v1_random	11146.855034531454	9696.043376515989	10849.074880369271	15896.937468251392
HML6_3p22.3	9353.854971467	10733.801486600489	6586.835292192133	3975.328729839237
MER61_5p14.1	8146.179871873806	8772.388698382085	11676.482008071174	11072.963647463876
ERVLB4_7q31.1c	7870.359805684148	7271.31831722306	3976.766796339351	5670.100924872823
HML2_7q22.2	7668.1622124688765	7494.363763468738	27176.861602958525	27193.407752893927
ERVLB4_3q25.31a	6926.214952325863	8578.997607544907	3190.6205653349207	3616.894721676739
ERV316A3_20q13.33b	6922.929870109678	10541.884746537444	3526.69389804206	5212.669898604947
ERVLB4_3q25.31b	6072.59769963255	7041.881139333933	3894.870583099093	3098.6190808092592
HERVL_7q31.1g	5908.738803886317	7052.820811336431	4004.86258111824	4920.203338024952
HML6_19q13.43b	5766.117507751481	6684.828409653973	7291.081914707447	6163.441688701729
HERVL74_11p15.4	5400.427394353388	5304.376387618425	5660.828347528579	6688.875563475641
HERVL66_1q42.12	5185.386617489196	5565.409455402232	2444.2156988275183	1833.9258928072056
ERVLE_2p22.3d	4946.33912661957	4723.898482869221	4923.974990328867	4597.206574290674
HERVL40_16p11.1d	4911.14214533572	5539.732711098931	3323.2545137824127	2091.866299833473
ERVLE_14q12d	4667.556072709284	4608.473428562591	1094.413763948776	2166.572469173835
ERV316A3_10q23.31a	4629.100733281576	4101.963705857656	2960.293492846321	3748.955599987174
ERVLE_11q13.3b	4377.495143169199	3502.9798255053383	2581.8745839313606	2317.120679523244
ERVLE_8q11.23b	4211.946087719968	3516.1389996352013	2543.097021850652	3362.911601353873
ERV316A3_9p22.3	3900.719103888484	3102.890766947032	3825.0183148690458	3881.0151023347184
MER41_15q13.3	3842.3121989170777	3439.872108991799	5806.135570873499	4992.026232152064
HERVL_21q22.2	3779.061651645337	3160.927152437002	6501.095633236297	5245.016777812696
PRIMA41_9q34.3	3768.188173841306	3654.200529629346	1582.1586158892276	1389.2734164391168
MER41_12q12	3701.0818579834754	3481.1163675789985	1948.5914484565744	2453.543773863554
HUERSP3B_Xq13.2b	3695.823983160147	3218.1834543897903	3211.5958249232813	3477.2580836501397
HML4_8q24.3	3695.489667768748	4108.335753626262	6198.375201507271	5705.52429682356
MER4_22p11.2	3570.3736667320536	4747.935183576574	9455.57601753632	3857.0348259583648
HML5_12q12b	3375.942544335553	2963.7501441184227	1907.6920651729056	1848.7123665265824
HERVL18_6q13	3333.119370040576	3928.045974799485	1163.833621940271	1441.1606798879325
MER61_6q24.1b	3286.592775608001	3880.794337125492	4386.1479008939095	4170.322056671833
HERVL_12q12b	3261.7761787063064	3474.6999970565234	1445.3874041469091	1261.3490721491178
ERV316A3_4p15.32b	3212.56452403444	4060.931109133951	2299.541569768534	2273.6529151815707
ERVLE_15q12b	3172.045945275796	2810.719354946352	3063.769573609512	2985.6148610008977
MER4_14q11.2b	3078.058877999345	2566.862383191092	3437.0851162687723	2960.2142503447094
ERV316A3_2p22.3b	3039.672994287828	3261.6737256361057	3393.8520963515693	3854.904749449317
ERVLB4_8q12.3b	3036.4502399516286	2296.3972362254294	3513.354484706798	3076.7226183667176
ERVLE_2q22.3b	2986.1563095478296	3035.3570518507136	3930.359983629789	3441.116679975245
MER4B_2p22.3	2952.5191464957843	2500.1343576303407	4003.062488173639	3678.706737781256
ERVLE_2p22.3c	2942.7877567766727	2661.223233406658	2819.484009056281	1940.3162575712183
MER101_Xq23b	2899.104448066217	2714.44493334226	3662.4901999292806	4476.755598642759
MER61_6q24.1a	2888.714086401026	3531.9655842672587	2891.350904356192	2704.7743038862573
ERV316A3_14q21.3b	2876.6519393152257	3101.1212326180503	4122.113662332104	1987.4861362625395
ERVLE_18p11.21d	2868.38961345169	2613.484391551111	950.9303057904806	1355.801522890127
MER4_14_GL000009v2_random	2849.1676616719205	4349.682395238057	4758.317199926032	4420.3702510777575
HERVL74_2q11.2	2824.13415434348	3067.536982487314	2465.877925017439	1760.929371634862
HML5_2p23.3	2785.075680539508	3524.6328476481417	1348.43281450605	2135.227672810291
HML3_10q11.21a	2733.5584057450687	3436.7734181179285	2642.374214611321	2642.8114405397155
HML2_7p22.1	2725.6391442327	3260.7260513610663	1028.0195252083147	493.0193175847284
HERVL18_5q12.1	2709.7306599667154	3143.954885863744	1781.2467176614232	2148.2249510251186
LTR19_6q25.3a	2688.779830222781	3028.0679811173827	1579.7393963827662	2033.33858766892
ERVLE_14q21.3a	2604.97642486925	2493.9028140424075	1160.394280249036	2085.0198577788115
MER61_1q21.3	2592.497719223317	3179.6842513029046	2445.6378910673297	2010.0948162763548
HERVIP10FH_15q25.1	2590.097100925582	2569.384784939679	2062.427485359656	1499.149444047833
MER101_12p13.31b	2570.782773464083	2627.51361132932	4466.320870920821	3761.210611023384
LTR19_6q25.3b	2549.584492638219	2082.2110847336708	1243.776662532644	1241.074054866319
MER4_3q29f	2519.3151285595486	2624.362051805573	2821.097330775726	1592.7912926570357
ERVLE_13q14.13	2449.6200692926304	2668.7393634088075	1886.4758469372848	1868.9615818078005
ERVLE_2q24.3b	2446.326304568249	2053.9515838242064	2047.9016978482327	1818.4778958810475
ERV316A3_2p22.3a	2427.7249991435688	2102.586730439029	3220.87267862355	4041.15388842835
ERVLE_12p13.2b	2424.1933361083884	2269.4807528877595	2192.843862803971	2540.105499860203
HUERSP3B_Xp11.22	2421.6985550779195	2824.064600305446	2256.049972687223	2872.167977191474
HUERSP3_11p15.1	2410.3530326912087	2866.609564111713	3182.502620601077	3028.025420364828
ERVLE_7p15.3a	2406.4369467931783	2250.620297869228	2445.918098808113	1612.7886627604737
MER4_13q12.12d	2405.101855938452	2984.360589792057	1865.724053720205	2110.086532374608
MER41_16p12.3	2383.4288851130773	2790.274443005959	2017.3311411843608	1842.4348168988408
HERVH_3p12.3b	2374.5555332471854	2854.958762701189	715.6287958202907	606.5944889635485
ERVLE_22q13.1b	2355.714353074315	1765.0511766313666	1921.209025748646	1931.931296161338
PRIMA41_16q24.3	2300.190603697504	2370.036907050581	1815.9094745897276	1942.963608403562
HERVE_13q14.13b	2298.9796632271527	2162.8743073475275	781.319677716198	1308.2631046188126
MER61_6q13a	2258.914250634129	2850.7257043867994	587.657735102557	699.9528938767432
HERVL_13q33.1a	2224.836196269779	2124.529076115074	3363.9431662916527	3864.0649055823847
ERVLE_11p11.2a	2212.927271896426	1818.1570010552791	632.8181997112542	1872.721937705412
ERVL_5q11.2	2212.7290227741214	2107.4886366470014	1425.161906479647	1371.7791042704955
ERVLE_1p35.1c	2200.334421867993	2248.25014704364	994.1490876378958	1706.3819115729923
HERVL_7q31.1f	2152.894362828847	1875.111868408913	1485.1254735983778	1079.2748413674212
ERVLE_11q24.3e	2135.7590124224425	2439.242598840157	1359.9472889205445	1183.7979744988602
MER4_22q12.3	2134.8947311381035	2664.405816403515	3954.7553860461785	3957.634741853805
HERVL_12p13.2b	2118.028638170021	2072.638861210453	1937.300160718171	1603.5420036078656
ERVLB4_12p13.2c	2117.6084227932747	1218.8019172567938	1857.381087158681	1952.34633902387
MER61_2q32.3b	2105.0886862009497	2333.4216115287454	1996.2248165537048	2955.981787194521
ERVLE_1q44d	2095.817013954936	2493.228554804201	1523.6571560160437	1027.654760398641
ERVLE_4q31.21b	2048.0921985732857	2035.3430384273408	1232.5560687790792	1728.0029868055417
HERVFRD_13q31.1	2023.219197684369	2008.2798791432035	1266.8589880917727	1523.244355833334
HML5_2p13.2	2010.8922523662304	2252.1724533156853	2910.245383342118	2596.7521048790013
HERVIP10F_3p25.1b	2010.4529122934223	1832.5277690587616	1849.174585282568	1913.4923250392208
HML2_10q24.2	2001.6908138002177	1747.6964354327297	467.472073964776	612.2475278421429
ERV316A3_5p14.1e	1951.4395220890733	2203.417120790836	3026.164077065956	4090.319849681453
HERV9_1p31.1	1908.2734250383965	2007.2957628339427	2295.3150130830413	2565.2665634133627
HERVL_13q21.2	1881.7429799838685	1625.904671510196	1942.2556384045324	1878.864359303214
HUERSP3_8q12.3	1870.855648328312	1586.2344925490213	1743.111886203527	2422.612623922634
HERV3_19q13.42b	1859.218385781892	2172.570195119656	1579.359614614087	1171.741683365088
ERVLB4_9q22.33b	1858.0397095863352	2210.9925850601567	2546.308492539219	1838.2180100026496
HERVL_12p13.2a	1818.7691212858915	1737.7896009543874	283.29901296742383	1423.1442936755277
HUERSP3B_6q27	1803.6743156086968	1424.0737072987472	1814.602171738273	2172.000994177238
ERV316A3_18q11.2c	1797.319783122161	2387.5310930035057	1395.605640827315	1541.032178206962
